110 E College St - Tank Hall,41-00610-1,Electricity,06/01/2023,07/01/2023,"4,040",kWh
110 E College St - Tank Hall,41-00610-1,Electricity,07/01/2023,08/01/2023,"2,760",kWh
110 E College St - Tank Hall,41-00610-1,Electricity,08/01/2023,09/01/2023,"3,520",kWh
110 E College St - Tank Hall,41-00610-1,Electricity,09/01/2023,10/01/2023,"7,200",kWh
110 E College St - Tank Hall,41-00612-1,High Flow,10/01/2022,11/01/2022,300,cf
110 E College St - Tank Hall,41-00612-1,High Flow,11/01/2022,12/01/2022,200,cf
110 E College St - Tank Hall,41-00612-1,High Flow,12/01/2022,01/01/2023,200,cf
110 E College St - Tank Hall,41-00612-1,High Flow,01/01/2023,02/01/2023,0,cf
110 E College St - Tank Hall,41-00612-1,High Flow,02/01/2023,03/01/2023,300,cf
110 E College St - Tank Hall,41-00612-1,High Flow,03/01/2023,04/01/2023,200,cf
110 E College St - Tank Hall,41-00612-1,High Flow,04/01/2023,05/01/2023,300,cf
110 E College St - Tank Hall,41-00612-1,High Flow,05/01/2023,06/01/2023,200,cf
110 E College St - Tank Hall,41-00612-1,High Flow,06/01/2023,07/01/2023,100,cf
110 E College St - Tank Hall,41-00612-1,High Flow,07/01/2023,08/01/2023,100,cf
110 E College St - Tank Hall,41-00612-1,High Flow,08/01/2023,09/01/2023,0,cf
110 E College St - Tank Hall,41-00612-1,High Flow,09/01/2023,10/01/2023,300,cf





110 N Professor St - Wright Physics,41-00107-1,Electricity,10/01/2022,11/01/2022,"69,600",kWh
110 N Professor St - Wright Physics,41-00107-1,Electricity,11/01/2022,12/01/2022,"70,560",kWh
110 N Professor St - Wright Physics,41-00107-1,Electricity,12/01/2022,01/01/2023,"71,040",kWh
110 N Professor St - Wright Physics,41-00107-1,Electricity,01/01/2023,02/01/2023,"75,840",kWh
110 N Professor St - Wright Physics,41-00107-1,Electricity,02/01/2023,03/01/2023,"88,800",kWh
110 N Professor St - Wright Physics,41-00107-1,Electricity,03/01/2023,04/01/2023,"114,720",kWh
110 N Professor St - Wright Physics,41-00107-1,Electricity,04/01/2023,05/01/2023,"71,520",kWh
110 N Professor St - Wright Physics,41-00107-1,Electricity,05/01/2023,06/01/2023,"61,920",kWh
110 N Professor St - Wright Physics,41-00107-1,Electricity,06/01/2023,07/01/2023,"62,400",kWh
110 N Professor St - Wright Physics,41-00107-1,Electricity,07/01/2023,08/01/2023,"68,160",kWh
110 N Professor St - Wright Physics,41-00107-1,Electricity,08/01/2023,09/01/2023,"71,040",kWh
110 N Professor St - Wright Physics,41-00107-1,Electricity,09/01/2023,10/01/2023,"68,640",kWh
110 N Professor St - Wright Physics,41-00110-1,Water,10/01/2022,11/01/2022,800,cf
110 N Professor St - Wright Physics,41-00110-1,Water,11/01/2022,12/01/2022,"7,700",cf
110 N Professor St - Wright Physics,41-00110-1,Water,12/01/2022,01/01/2023,400,cf
110 N Professor St - Wright Physics,41-00110-1,Water,01/01/2023,02/01/2023,500,cf
